id,magnitude,place,country,time,longitude,latitude,depth
us7000tcfw,4.6,"35 km SSW of Shizunai-furukawachō, Japan",Japan,2026-08-27 22:13:31 UTC,142.2416,42.0315,63.668
us7000tcf3,6.0,"145 km N of Caluula, Somalia",Somalia,2026-08-27 21:07:38 UTC,50.5425,13.2654,10.0
us7000tcef,4.8,"63 km NE of Kuji, Japan",Japan,2026-08-27 19:54:41 UTC,142.2551,40.6244,63.827
pr71530088,2.61,"3 km SW of La Parguera, Puerto Rico",Puerto Rico,2026-08-27 19:33:32 UTC,-67.0655,17.9513333333333,7.77
us7000tce1,4.4,"Pagan region, Northern Mariana Islands",Northern Mariana Islands,2026-08-27 19:06:05 UTC,145.6078,18.6991,218.851
tx2026qwimff,2.6,"56 km S of Whites City, New Mexico",New Mexico,2026-08-27 18:55:47 UTC,-104.416,31.671,7.3816
us7000tcdu,4.9,"3 km WNW of Mangili, Philippines",Philippines,2026-08-27 18:43:40 UTC,125.6536,6.0157,10.0
aka2026qzamnb,3.0,"51 km ENE of Denali National Park, Alaska",Alaska,2026-08-27 18:37:51 UTC,-150.721,63.649,5.0
aka2026qyzidg,2.6,"63 km WSW of Port Alexander, Alaska",Alaska,2026-08-27 18:02:48 UTC,-135.517,55.959,7.2
us7000tcc3,4.5,"42 km E of Estique, Peru",Peru,2026-08-27 17:40:41 UTC,-69.6195,-17.5572,141.956
aka2026qyyiup,2.6,"95 km S of Unalaska, Alaska",Alaska,2026-08-27 17:33:33 UTC,-166.677,53.016,0.9
us7000tcc0,4.1,"14 km NNE of Machala, Ecuador",Ecuador,2026-08-27 17:23:23 UTC,-79.8986,-3.1421,47.59
us7000tcbz,4.1,"29 km NW of Tumbes, Peru",Peru,2026-08-27 17:09:28 UTC,-80.6517,-3.3927,38.443
aka2026qyxkno,2.5,"2 km N of Sterling, Alaska",Alaska,2026-08-27 17:05:33 UTC,-150.759,60.563,55.8
us7000tcg6,2.7,"206 km S of False Pass, Alaska",Alaska,2026-08-27 16:56:28 UTC,-163.2086,53.0007,10.0
us7000tcg5,2.7,"193 km SE of Akutan, Alaska",Alaska,2026-08-27 16:50:42 UTC,-163.4528,53.0713,10.0
us7000tcaf,4.8,"85 km N of Ruteng, Indonesia",Indonesia,2026-08-27 16:31:59 UTC,120.3479,-7.8456,10.0
us7000tca5,4.5,"15 km SSW of Sipí, Colombia",Colombia,2026-08-27 16:21:22 UTC,-76.6738,4.5178,63.976
us7000tcg2,2.7,"89 km SE of Akutan, Alaska",Alaska,2026-08-27 15:40:13 UTC,-164.7459,53.6077,35.0
us7000tca4,3.5,"10 km NW of Mérida, Venezuela",Venezuela,2026-08-27 15:36:05 UTC,-71.214,8.6667,10.0
aka2026qyufbr,2.5,"167 km SSE of Old Harbor, Alaska",Alaska,2026-08-27 15:29:01 UTC,-151.931,55.902,15.0
us7000tc9s,4.7,"16 km SSW of Sipí, Colombia",Colombia,2026-08-27 15:25:29 UTC,-76.6986,4.5157,65.125
tx2026qwahjm,2.8,"16 km NW of Mentone, Texas",Texas,2026-08-27 14:48:52 UTC,-103.737,31.794,9.1376
us7000tc9m,5.0,western Xizang,western Xizang,2026-08-27 14:45:48 UTC,86.9395,33.2423,10.0
us7000tc9g,4.8,"195 km SE of Akutan, Alaska",Alaska,2026-08-27 14:30:20 UTC,-163.4304,53.0654,10.0
aka2026qynxwz,2.5,"98 km SW of Atka, Alaska",Alaska,2026-08-27 12:21:11 UTC,-175.124,51.523,26.1
us7000tcxk,4.5,Vanuatu region,Vanuatu region,2026-08-27 12:17:26 UTC,173.3354,-19.7789,10.0
us7000tc95,4.9,Indian Ocean Triple Junction,Indian Ocean Triple Junction,2026-08-27 11:47:16 UTC,70.7736,-26.0744,10.0
aka2026qylbzs,2.9,"105 km SE of False Pass, Alaska",Alaska,2026-08-27 10:55:57 UTC,-162.482,54.08,2.4
us7000tc8j,5.3,"54 km NNE of Labuan Bajo, Indonesia",Indonesia,2026-08-27 10:33:24 UTC,120.0539,-8.0324,10.0
aka2026qyjins,3.4,"30 km NE of Fox River, Alaska",Alaska,2026-08-27 10:05:03 UTC,-150.512,60.021,35.6
us7000tc8e,4.5,"205 km SE of Vilyuchinsk, Russia",Russia,2026-08-27 09:33:59 UTC,160.2665,51.4769,10.0
aka2026qyfxsi,2.8,"6 km N of Petersville, Alaska",Alaska,2026-08-27 08:22:49 UTC,-150.742,62.557,75.3
aka2026qyfbjt,3.9,"134 km E of Atka, Alaska",Alaska,2026-08-27 07:54:56 UTC,-172.262,52.003,27.0
us7000tc7m,4.3,"48 km WSW of Abra Pampa, Argentina",Argentina,2026-08-27 05:53:12 UTC,-66.1304,-22.9043,259.717
us7000tc7l,5.3,"Volcano Islands, Japan region",Japan region,2026-08-27 05:44:26 UTC,142.7624,24.2906,10.0
aka2026qxznno,2.6,"37 km W of Anchor Point, Alaska",Alaska,2026-08-27 05:09:23 UTC,-152.498,59.819,87.3
aka2026qxzbmz,2.8,"Rat Islands, Aleutian Islands, Alaska",Alaska,2026-08-27 04:55:32 UTC,178.644,51.578,72.8
aka2026qxywqw,2.5,"89 km SSE of Sand Point, Alaska",Alaska,2026-08-27 04:49:51 UTC,-160.113,54.559,5.7
us7000tc56,5.1,South Atlantic Ocean,South Atlantic Ocean,2026-08-27 04:19:08 UTC,-20.2977,-22.5672,10.0
ci41537288,2.56,"52 km SSW of Progreso, B.C., MX",MX,2026-08-27 03:36:18 UTC,-115.778166666667,32.1418333333333,6.21
aka2026qxtasy,2.8,"154 km SSE of Atka, Alaska",Alaska,2026-08-27 01:54:39 UTC,-173.131,50.976,14.9
pr71530033,3.44,"31 km NE of Miches, Dominican Republic",Dominican Republic,2026-08-27 01:41:37 UTC,-68.8455,19.191,10.5
us7000tc3j,4.7,"22 km ENE of Talca, Chile",Chile,2026-08-26 22:23:12 UTC,-71.4471,-35.3195,80.639
